,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
7088,June Erbsen - Edeka Bio - 450 ,-8,a,351.0,0.1,2.5,7.6,6.6,0.1
7089,Müsli Enten - Hipp - 200,-4,a,1548.0,0.6,9.6,7.6,10.7,0.05
7090,Fitness nutritious enery - Nestlé - 375,-1,a,1540.0,0.6,10.8,7.6,9.4,0.9
7091,"Sedanini, lentilles roues - YOU - 250",-6,a,1412.0,0.5,1.0,7.6,26.0,0.0
7092,Kinder Fruchte Musli - Alnatura - 500 ,-3,a,1495.0,0.8,17.0,7.6,10.0,0.05
7093,June Erbsen - ut & ünsti - 1000 ,-13,a,351.0,0.1,2.5,7.6,6.6,0.1
7094,June Erbsen - EDEKA - 450 ,-13,a,353.0,0.1,2.5,7.6,6.6,0.102
7095,June Erbsen - ut & ünsti - 1000 ,-13,a,353.0,0.1,2.5,7.6,6.6,0.09
7096,Fusilli - dmBio - 300  ℮,-6,a,1397.0,0.4,1.2,7.6,26.0,0.01
7097,Schwarze Bohnen - Davert - 400,-6,a,381.0,0.1,1.1,7.6,6.6,0.6
7098,Hommous - Al Amier - 180,-5,a,664.0,2.1,0.0,7.6,7.3,0.42
7099,Banane-Mandel Fruchtrieel - Lubs - 40 ,0,b,1530.0,1.2,40.3,7.6,7.9,0.03
7100,Vollkorn Zwieback - Praum - 225 ,0,b,1382.0,0.6,9.2,7.6,9.2,0.91
7101,Bio-Schoko-Dinkel-Müsli - ut Bio,8,c,1729.0,5.7,15.0,7.6,12.0,0.07
7102,Tandoori Paste - Sharwood's - 300.0 ,8,c,1100.0,1.0,4.0,7.6,3.0,5.9
7103,Knusper-Schoko-Müsli - K Bio - 500,7,c,1837.0,5.0,18.0,7.6,9.9,0.05
7104,Erdnussmus - Dm Bio - 250 ,9,c,2527.0,8.0,4.1,7.6,26.0,0.02
7105,Pistaches - Alesto - 250 ,6,c,2531.0,6.3,5.6,7.6,26.5,1.78
7106,"Rapunzel Fruchtschnitte Mano-baobab, 40 R Stück - 40",8,c,1318.0,0.5,59.0,7.6,2.0,0.08
7107,Peanut butter creamy - Wünsche Handelsellschaft - 350,17,d,2439.0,9.8,10.0,7.6,21.9,1.08
7108,Dinkel Früchte-Müsli - Bio - 500,11,d,1758.0,5.2,24.6,7.6,9.8,0.41
7109,Kokos Mit Kokosblütenzucker - Alnatura - 100 ,19,e,2611.0,34.0,36.0,7.6,4.4,0.21
7110,Pfefferminz Zartbitter - Alnatura - 100 ,21,e,2068.0,14.0,55.0,7.6,5.0,0.01
7111,Zartbitter Mandel - Rapunzel - 80 ,20,e,2406.0,22.0,39.0,7.6,6.1,0.01
7112,K-Bio Reiswaffeln mit Meersalz - 130 ,-3,a,1620.0,1.54,7.69,7.69,9.23,0.308
7113,Cizrna mini - Bonduelle - 130  éoutté (2 x 65 ),-6,a,502.0,0.2,0.0,7.7,6.4,0.43
7114,Bio Épeautre - olden Sun - 750 r,-6,a,1410.0,0.6,2.7,7.7,13.0,0.08
7115,Chickpeas - Bonduelle - 265 ,-6,a,502.0,0.2,0.0,7.7,6.4,0.43
7116,Roenmehl Type 1150 - oldpuder - 1 k,-6,a,1419.0,0.2,1.5,7.7,9.0,0.01
7117,Mandel Mus weiß - Alnatura - 250,-2,a,2816.0,4.8,4.6,7.7,22.0,0.01
7118,Tafel-Meerrettich - Lutz - 200 ,-1,a,389.0,0.5,5.0,7.7,2.9,1.25
7119,Vollkorn Spahetti - Biobio - 500 ,-6,a,1473.0,0.6,4.0,7.7,12.5,0.01
7120,Haselnusskerne anz - Norma - 200 ,-1,a,2783.0,5.4,6.0,7.7,16.3,0.01
7121,ut & ünsti hazelnuts - 200 ,-1,a,2782.0,5.4,6.0,7.7,15.3,0.01
7122,Krunchy joy amapola & naranja - Barnhouse,-2,a,1883.0,1.6,12.0,7.7,9.3,0.21
7123,Hazelnut kernels - Edeka - 200 ,-1,a,2783.0,5.3,5.3,7.7,16.3,0.01
7124,Pistaches - ut & ünsti - 250 ,0,b,2669.0,7.2,6.0,7.7,24.0,0.02
7125,Pistazien - ut & ünsti - 250 ,7,c,2685.0,7.2,6.1,7.7,24.0,1.5
7126,Kölln Knusper Johurt Himbeer Müsli - 500 ,9,c,1724.0,3.8,21.0,7.7,10.0,0.49
7127,Alnatura - 200 ,9,c,1527.0,0.2,11.0,7.7,13.0,1.9
7128,Weißes Mandelmus - Rapunzel - 500 ,8,c,2807.0,4.8,4.6,7.7,22.0,0.01
7129,Weisses Mandelmus - Rapunzel - 250  e,8,c,2807.0,4.8,4.6,7.7,22.0,0.01
7130,Erdnuss Mais mix - Edeka - 200,14,d,2230.0,6.1,5.5,7.7,12.2,1.4
7131,Zartbitter Raspelschokolade - K Classic - 100 ,21,e,2152.0,17.0,51.0,7.7,6.7,0.01
7132,rüne Erbsen Drelli - Alnatura - 250 ,-6,a,1421.0,0.4,3.2,7.8,19.0,0.01
7133,Couscous aus Hartweizen - ener Bio - 500,-6,a,1536.0,0.5,2.0,7.8,13.1,0.001
7134,Hafer-Müsli Früchte - Kölln - 500 ,0,b,1536.0,2.8,22.0,7.8,9.5,0.07
7135,Cheerios Multi - Nestle - 375 ,0,b,1598.0,0.9,18.0,7.8,9.4,0.84
7136,Bio Hummus Classic - Obela - 150,0,b,1209.0,3.3,1.2,7.8,7.5,0.9
7137,Kölln Früchte Müsli ohne Zuckerzusatz - 1700 ,0,b,1536.0,2.8,21.9,7.8,9.5,0.07
7138,Soft Datteln - ener Bio - 200,2,b,1142.0,0.3,51.0,7.8,2.0,0.03
